859 987
100000
59 49160319
454 60047746
978 46201685
984 71636558
128 2842576
142 42649508
355 19236124
998 79384755
687 28536912
744 66787723
126 36674011
78 4963183
66 3139005
386 58933029
440 39736148
667 30758720
395 20116683
291 66908550
234 32404970
143 38577858
119 10380947
388 17520224
749 52817513
923 16944176
189 53419237
88 33926451
877 23022742
437 48120376
574 21491507
622 67118783
484 43119476
580 15869857
556 20825954
934 56629832
402 42706828
621 11172238
827 58009895
104 4427544
703 43369618
534 17944273
511 55052001
266 2563402
689 9358630
545 52996144
390 16807018
858 28209727
353 47330724
810 5061114
382 41098076
216 23139682
364 54644517
947 25722730
664 69472880
302 73968420
984 27631475
229 47739518
329 67889449
640 5683907
254 42964951
401 53824569
549 53884135
506 47064222
367 15380887
272 48677393
508 56829071
206 42878626
185 11186680
880 760628
344 41893815
781 42853916
785 34826035
23 46088129
202 64177074
115 10559269
600 7872037
135 6187132
209 70057563
829 57565404
904 7313050
611 20391521
292 38923493
699 76147204
430 13278169
86 44396277
21 71888197
608 1930475
879 63740361
880 26817086
982 63913179
263 21071841
468 5799032
370 17519250
397 3512155
925 11034946
960 64491061
622 41332760
41 74826299
427 49910395
126 50962862
706 34016168
940 44194749
459 39529338
13 21308667
27 47816363
336 30401920
992 37590274
686 31333042
268 42399011
180 5871793
464 22004348
122 11864680
230 39054798
431 55429443
3 18687679
254 48243366
367 75737754
297 65339050
218 6592707
184 28869845
253 10240530
718 5204249
74 55315091
849 2838503
762 31522006
76 49204236
569 38511135
450 54636238
919 58069352
249 22883333
85 67578445
673 9403178
362 64519283
696 74770233
714 68068797
867 51286099
402 53448202
514 13746153
402 10815901
57 17885895
127 64551432
847 32536841
628 47705005
565 69410724
332 3791264
996 78644904
231 11794228
3 15351669
143 37094586
332 25895454
837 77067066
74 5663880
301 61526438
954 70697329
891 55880456
642 74737921
216 8126794
578 55367056
877 60965000
190 79297893
275 75910402
445 43726043
20 21772508
593 3488659
33 9047491
547 41886085
505 62694031
834 76636896
819 59232342
24 76141820
577 72061965
417 61556199
745 16445337
745 1171691
384 7169706
609 56720601
933 45153416
294 29363617
104 37827973
329 7890912
336 52829282
978 63436328
554 67980159
738 5186588
525 41556124
201 6830732
742 20238234
618 30901686
354 13265166
846 50859452
922 38729077
485 45838233
345 20172386
24 33364490
723 77628131
671 60129117
166 62645008
